symbol,entry_date,exit_date,holding_days,exit_reason,entry_rank,exit_rank,entry_cmvs,exit_cmvs,entry_rsi,exit_rsi,entry_atr,exit_atr,entry_price,exit_price,peak_return,final_return,forward_return_5d,forward_return_10d,forward_return_20d,post_exit_max_return,post_exit_max_drawdown,days_to_peak,days_to_trough,missed_upside,saved_drawdown
MSFT,2023-07-05,2023-07-10,5,ema9_break,10,10,0.22305141340467413,0.22305141340467413,56.76276349585538,49.38703568711347,6.418597141217256,6.605950407891519,335.09,334.6,0.018442806410218227,-0.0014622937121369084,0.03326359832635983,0.03141063956963541,-0.013419007770472224,0.07438732815301852,-0.02372982665869694,6,18,0.07438732815301852,0.02372982665869694
COST,2023-07-05,2023-07-10,5,"atr_trail(stop=526.72),ema9_break",2,2,0.4283944618812364,0.4283944618812364,71.82251379187998,53.182535308313504,7.000958300722771,7.1663029834868555,541.22,525.06,0.0,-0.029858467905842456,0.05313678436750102,0.0740296347084144,0.06351655048946792,0.07829581381175488,0.008722812630937549,12,1,0.07829581381175488,-0.008722812630937549
NFLX,2023-07-05,2023-07-21,16,"atr_trail(stop=44.62),ema9_break",4,4,0.3427882463051039,0.3427882463051039,70.07071785796066,47.339456477254735,1.246741546646977,1.5649965511946184,44.49,43.74,0.07349966284558329,-0.016857720836142898,-0.026520347508001918,-0.013260173754001015,-0.07521719250114312,0.0077732053040693305,-0.07864654778235036,11,19,0.0077732053040693305,0.07864654778235036
TSLA,2023-07-05,2023-07-21,16,"atr_trail(stop=270.57),ema9_break",1,1,0.514622837502373,0.514622837502373,72.36709012703379,48.497419966735556,11.09919291966921,11.44426817281291,278.82,268.0,0.05207660856466534,-0.038806398393228636,-0.00582089552238807,-0.05276119402985069,-0.1959328358208955,0.003955223880597103,-0.1959328358208955,1,20,0.003955223880597103,0.1959328358208955
NVDA,2023-07-05,2023-07-24,19,"atr_trail(stop=44.37),ema9_break",9,9,0.2302048797233868,0.2302048797233868,62.41800850308984,57.6923350048674,1.4279320540057479,1.52547526716743,42.14,44.73,0.1269577598481253,0.06146179401993357,0.044712720769058745,0.015425888665325349,0.05007824726134591,0.05007824726134591,-0.08674267829197402,20,14,0.05007824726134591,0.08674267829197402
NVDA,2023-08-02,2023-08-03,1,ema9_break,4,4,0.3484495188729333,0.3484495188729333,50.71677767741778,51.85826992504941,1.5368920094425003,1.5213997230537504,45.83,43.8,0.0,-0.044294130482216865,-0.03219178082191776,-0.010502283105022658,0.12694063926940635,0.12694063926940635,-0.06735159817351588,20,6,0.12694063926940635,0.06735159817351588
PEP,2023-08-02,2023-08-03,1,ema9_break,11,11,0.12692288467264962,0.12692288467264962,52.3994046281383,49.32927145043162,2.6573836499203005,2.628284817783136,186.59,188.17,0.009218071708023023,0.008467763545741969,-0.02348939788489124,-0.05165541797310946,-0.054472019981931186,-0.006802359568475302,-0.06626986235850563,2,13,-0.006802359568475302,0.06626986235850563
AMZN,2023-08-02,2023-08-03,1,ema9_break,7,7,0.22865751680951163,0.22865751680951163,47.4217684057034,48.953829930465616,3.221104387884686,3.2360255030357807,130.15,127.48,0.0,-0.02051479062620054,0.08691559460307507,0.050988390335738876,0.08260119234389696,0.11562598054596784,0.03420144336366482,2,15,0.11562598054596784,-0.03420144336366482
MSFT,2023-08-02,2023-08-03,1,ema9_break,9,9,0.17779555146182358,0.17779555146182358,41.891630064016276,41.36375939137556,8.672623739130128,8.333864900620833,333.63,326.0,0.0,-0.022869646015046596,-0.009417177914110453,-0.027975460122699358,0.005398773006134894,0.012607361963190122,-0.029202453987730026,2,11,0.012607361963190122,0.029202453987730026
COST,2023-08-02,2023-08-03,1,ema9_break,8,8,0.2048683238763181,0.2048683238763181,56.100119671223865,60.89682545162789,6.823651401591282,6.916962015763334,552.26,553.53,0.00016296671857474188,0.0022996414732190384,0.01438043105161424,-0.011598287355698789,-0.007677993965999996,0.017036113670442443,-0.039419724314851856,6,15,0.017036113670442443,0.039419724314851856
